 ,bis,Komplett,Beendet,gelesen bis,Typ,Zugang,Verlag,Kommentar,VÖ +1,VÖ +2,VÖ +3,VÖ +4,VÖ +5
Naruto Massiv,24,Ja,Ja,7,Manga,07.2022,Carlsen Manga,,Beendet,,,,
Neon Genesis Evangelion [Perfect Edition],7,Ja,Ja,0,Manga,01.2023,Carlsen Manga,Sammelschuber,Beendet,,,,
NieR:Automata – Kurze Geschichten,1,Ja,Ja,0,Light Novel,08.2023,Altraverse,,Beendet,,,,
NieR:Automata – Lange Geschichten,1,Ja,Ja,0,Light Novel,04.2023,Altraverse,,Beendet,,,,
NieR:Automata – YoRHA Jungen,1,Ja,Ja,0,Light Novel,12.2023,Altraverse,,Beendet,,,,
Niji & Kuro - BUNT fürs Leben,3,Ja,Ja,3,Manga,04.2023,Egmont Manga,,Beendet,,,,
Nura – Herr der Yokai,25,Ja,Ja,0,Manga,01.2023,Kaze,,Beendet,,,,
Omniscient Reader's Viewpoint,14,Nein,Nein,9,Manhwa,03.2024,C Lines,Sammelschuber je 5 ,01.09.2026,,,,
One Piece,90,Nein,Nein,61,Manga,01.1900,Carlsen Manga,Sammelschuber 1-9,Fortlaufend,,,,
One Piece Episode A,2,Ja,Ja,0,Manga,08.2023,Carlsen Manga,,Beendet,,,,
One Piece Law,1,Ja,Ja,0,Manga,08.2025,Carlsen Manga,,Beendet,,,,
Overlord,10,Nein,Nein,0,Light Novel,12.2022,Tokoypop,,12.08.2026,,,,
Parallel World Pharmacy,7,Nein,Nein,7,Manga,06.2024,Tokoypop,,TBA,JP 12,,,
Radiant,19,Nein,Nein,8,Manga,11.2022,Altraverse,Sammelschuber je 4,TBA,,,,
Rairairai,3,Nein,Nein,0,Manga,04.2026,Egmont Manga,,08.09.2026,,,,
Reincarnated as a Sword: Another Wish,2,Nein,Nein,0,Manga,10.2025,Dokico,Band 6 abschluss,27.10.2026,29.12.2026,,,
Reincarnated into a Game as the Hero’s Friend – Running the Kingdom Behind the Scenes,2,Nein,Nein,1,Manga,04.2026,Tokoypop,,14.10.2026,13.01.2027,,,
Rock Lee Massiv,3,Ja,Ja,0,Manga,08.2023,Carlsen Manga,,Beendet,,,,
Sakamoto Days,22,Nein,Nein,6,Manga,11.2022,Carlsen Manga,,01.09.2026,01.12.2026,02.03.2027,,
Sanda,11,Nein,Ja,0,Manga,11.2024,Crunchyroll,Abschluss Band 16,04.09.2026,,,,
"Schritt für Schritt in einer neuen Welt: Niemand hat mir gesagt, dass es hier Monster gibt!",2,Nein,Nein,1,Light Novel,07.2025,JNC Nina,,Fortlaufend,,,,
Shangri-La Frontier,25,Nein,Nein,24,Manga,12.2023,Altraverse,,TBA,,,,
Snowball Earth,9,Nein,Nein,3,Manga,11.2022,Altraverse,,10.08.2026,JP 10,,,
Solo Leveling,15,Ja,Ja,13,Manhwa,07.2022,Altraverse,,Beendet,,,,
Solo Leveling LN,8,Ja,Ja,7,Light Novel,12.2023,Altraverse,,Beendet,,,,
Solo Leveling: Ragnarok,1,Nein,Nein,0,Manhwa,06.2026,Altraverse,,12.10.2026,KR 2,,,
Soul Eater Massiv,12,Ja,Ja,0,Manga,08.2022,Carlsen Manga,,Beendet,,,,
Spaßige Gebietsverteidigung für lässige Lehnsherren,4,Nein,Nein,2,Manga,09.2025,Altraverse,,14.09.2026,09.11.2026,,,
Super Mario - Seine größten Abenteuer,1,Ja,Ja,1,Manga,09.2022,Tokoypop,,Beendet,,,,
Super Smartphone,3,Ja,Ja,0,Manga,06.2025,Tokoypop,3 Bände,Beendet,,,,
Super String: Marco Polos Reise ins Multiversum,4,Ja,Ja,0,Light Novel,12.2023,Panini Manga,,Beendet,,,,
Sword Art Online – Light Novel,10,Nein,Nein,0,Light Novel,03.2025,Tokoypop,,Band 17 11.06.2025,,,,
